Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Predicted_global_active_power
3.616,0.106,234.44,15.4,0.0,4.0,17.0,3.6220244539627053
3.476,0.092,234.6,14.8,0.0,3.0,17.0,3.4864070786435777
3.394,0.064,235.12,14.4,0.0,0.0,17.0,3.3869081111111097
3.4,0.0,234.28,14.4,0.0,1.0,17.0,3.4009796832611827
3.414,0.0,234.19,14.4,0.0,1.0,17.0,3.401144683261183
3.432,0.0,234.69,14.6,0.0,1.0,16.0,3.4297930833333345
3.418,0.0,234.26,14.6,0.0,2.0,17.0,3.4226786547619032
3.392,0.0,233.3,14.4,0.0,1.0,17.0,3.392560413419911
3.394,0.0,233.43,14.4,0.0,1.0,17.0,3.3938983975468955
3.394,0.0,233.45,14.4,0.0,1.0,16.0,3.3895700165945146
3.406,0.0,233.91,14.4,0.0,2.0,17.0,3.399507457070706
3.42,0.0,234.43,14.6,0.0,1.0,17.0,3.423206964285713
3.418,0.0,234.34,14.4,0.0,1.0,17.0,3.4008081832611827
3.422,0.052,234.58,14.6,0.0,1.0,17.0,3.4237182222222207
3.332,0.0,234.02,14.2,0.0,1.0,16.0,3.3209720158730183
3.316,0.046,234.29,14.0,0.0,1.0,17.0,3.301141214285717
3.334,0.0,234.36,14.2,0.0,2.0,17.0,3.3317889166666674
3.262,0.052,232.64,14.0,0.0,0.0,17.0,3.268517637085138
3.476,0.064,232.96,14.8,0.0,3.0,16.0,3.4617005429292904
3.62,0.09,233.47,15.4,0.0,5.0,17.0,3.6013501309523814
3.61,0.084,234.98,15.2,0.0,5.0,17.0,3.587469399350648
3.646,0.138,234.34,15.4,0.0,5.0,17.0,3.6279006590909098
3.614,0.192,233.92,15.4,0.0,5.0,17.0,3.61042517857143
3.408,0.162,233.94,14.4,0.0,2.0,16.0,3.395538611111113
3.388,0.134,233.72,14.4,0.0,1.0,17.0,3.3854561666666667
3.372,0.132,233.2,14.4,0.0,2.0,17.0,3.375320265873016
3.37,0.132,233.1,14.4,0.0,1.0,16.0,3.371110067460318
3.342,0.12,232.29,14.4,0.0,1.0,17.0,3.3583448650793635
3.284,0.0,232.45,14.0,0.0,2.0,16.0,3.2801444058441573
3.276,0.0,231.97,14.0,0.0,1.0,17.0,3.286345167748918
3.382,0.13,232.42,14.4,0.0,2.0,17.0,3.372132123015873
3.418,0.16,233.38,14.6,0.0,1.0,16.0,3.411638003968251
3.396,0.158,232.69,14.6,0.0,1.0,17.0,3.396683970418473
3.406,0.158,233.2,14.6,0.0,2.0,16.0,3.4034527204184677
3.406,0.158,233.26,14.6,0.0,1.0,17.0,3.404667593434341
3.392,0.156,232.84,14.4,0.0,1.0,17.0,3.380916726190476
3.378,0.154,232.39,14.4,0.0,2.0,16.0,3.3727599920634934
3.368,0.154,232.14,14.4,0.0,1.0,17.0,3.361735488095236
3.35,0.152,231.57,14.4,0.0,1.0,16.0,3.354858087301586
3.352,0.152,231.66,14.4,0.0,2.0,17.0,3.3573745317460295
3.364,0.154,232.22,14.4,0.0,1.0,16.0,3.3604858849206334
3.38,0.156,232.81,14.4,0.0,1.0,17.0,3.3798533968253976
3.404,0.16,233.77,14.4,0.0,1.0,17.0,3.3934013492063495
3.378,0.156,232.82,14.4,0.0,2.0,16.0,3.3777790158730157
3.388,0.158,233.22,14.4,0.0,1.0,17.0,3.387063650793653
3.376,0.156,232.84,14.4,0.0,1.0,17.0,3.380916726190476
3.254,0.0,232.75,13.8,0.0,0.0,16.0,3.220792923881673
3.214,0.078,232.64,13.8,0.0,0.0,17.0,3.2126054199134226
3.202,0.078,232.2,13.8,0.0,0.0,16.0,3.203168976551226
3.202,0.078,232.2,13.8,0.0,0.0,17.0,3.20350130988456
3.212,0.078,232.58,13.8,0.0,0.0,16.0,3.2116865389610405
3.206,0.078,232.4,13.8,0.0,0.0,17.0,3.205768115440116
3.214,0.078,232.66,13.8,0.0,0.0,17.0,3.213652219336222
3.206,0.078,232.43,13.8,0.0,0.0,16.0,3.2057016154401157
3.222,0.078,233.02,13.8,0.0,0.0,17.0,3.217482684343437
3.216,0.076,232.8,13.8,0.0,0.0,16.0,3.2190026818181807
3.216,0.078,232.79,13.8,0.0,0.0,17.0,3.2150547352092365
3.194,0.078,231.98,13.6,0.0,0.0,16.0,3.195479307359308
3.278,0.0,232.88,14.0,0.0,0.0,17.0,3.288432096320345
3.282,0.0,232.52,14.0,0.0,0.0,17.0,3.2872885606060596
3.292,0.0,232.87,14.0,0.0,0.0,16.0,3.289138227272726
3.316,0.0,233.78,14.0,0.0,0.0,17.0,3.302509353174604
3.37,0.08,233.69,14.4,0.0,0.0,17.0,3.374451843073593
3.42,0.144,234.04,14.6,0.0,0.0,17.0,3.4224404325396813
3.41,0.142,233.93,14.6,0.0,0.0,16.0,3.419195428571427
3.4,0.14,233.62,14.4,0.0,0.0,17.0,3.380416370129869
3.4,0.14,233.64,14.4,0.0,0.0,17.0,3.380416370129869
3.388,0.14,233.26,14.4,0.0,0.0,16.0,3.376908040764789
3.37,0.086,233.9,14.4,0.0,0.0,17.0,3.3741676038961033
3.332,0.0,233.68,14.2,0.0,0.0,17.0,3.3163399022366526
3.31,0.0,232.83,14.2,0.0,0.0,17.0,3.3108811562049083
3.312,0.0,233.0,14.2,0.0,0.0,16.0,3.309172882395385
3.314,0.0,233.08,14.2,0.0,0.0,17.0,3.3127143982683993
3.302,0.0,232.69,14.2,0.0,0.0,16.0,3.306963894300148
3.302,0.0,232.91,14.0,0.0,0.0,17.0,3.2883645963203447
3.3,0.0,232.87,14.0,0.0,0.0,17.0,3.289697417748917
3.29,0.0,232.42,14.0,0.0,0.0,16.0,3.2869402629870126
3.286,0.0,232.31,14.0,0.0,0.0,17.0,3.2872885606060596
3.23,0.052,232.79,13.8,0.0,0.0,16.0,3.22083870165945
3.218,0.078,233.05,13.8,0.0,0.0,17.0,3.219244672438675
3.258,0.076,234.57,13.8,0.0,0.0,17.0,3.2603196316738816
3.264,0.076,234.79,13.8,0.0,0.0,17.0,3.2616314531024524
3.26,0.076,234.6,13.8,0.0,0.0,17.0,3.2609751753246745
3.262,0.076,234.54,13.8,0.0,0.0,17.0,3.2602383816738807
3.264,0.076,234.6,13.8,0.0,0.0,16.0,3.259657341991341
3.238,0.076,233.77,13.8,0.0,0.0,17.0,3.235754099206348
3.228,0.078,233.5,13.8,0.0,0.0,17.0,3.2279987875180405
3.222,0.078,233.27,13.8,0.0,0.0,17.0,3.2235493986291526
3.226,0.078,233.37,13.8,0.0,0.0,16.0,3.2248181406926437
3.206,0.078,232.64,13.6,0.0,0.0,17.0,3.2035892954545444
3.188,0.08,231.95,13.6,0.0,0.0,16.0,3.189547032467533
3.196,0.08,232.21,13.6,0.0,0.0,17.0,3.190839413419915
3.204,0.078,232.5,13.6,0.0,0.0,16.0,3.20087716053391
3.232,0.078,233.63,13.8,0.0,0.0,17.0,3.232730773809525
3.254,0.074,234.43,13.8,0.0,0.0,17.0,3.257472262626262
3.376,0.05,234.63,14.4,0.0,0.0,17.0,3.383807655483405
3.372,0.048,235.05,14.2,0.0,0.0,17.0,3.3450524365079355
3.366,0.048,234.96,14.2,0.0,0.0,17.0,3.3454187341269837
3.386,0.05,235.77,14.2,0.0,0.0,17.0,3.3681099285714295
3.496,0.146,236.76,14.8,0.0,0.0,17.0,3.495877857142856
3.426,0.146,234.59,14.6,0.0,0.0,17.0,3.4259987738095248
3.44,0.148,235.13,14.6,0.0,0.0,17.0,3.4327028243145765
3.44,0.146,235.14,14.6,0.0,0.0,17.0,3.433137229076481
3.454,0.15,235.75,14.6,0.0,0.0,17.0,3.4494810119047643
3.45,0.15,235.69,14.6,0.0,0.0,17.0,3.4493650119047645
3.48,0.154,236.86,14.6,0.0,0.0,17.0,3.4684393452380946
3.474,0.152,236.72,14.6,0.0,0.0,17.0,3.466394376984127
3.456,0.15,236.05,14.6,0.0,0.0,17.0,3.4566477142857166
1.832,0.17,237.54,8.4,0.0,0.0,17.0,1.9007798506493512
2.044,0.102,237.44,9.4,0.0,0.0,18.0,2.252814163780663
3.354,0.0,237.0,14.0,0.0,0.0,17.0,3.335279317460318
3.282,0.074,235.55,13.8,0.0,0.0,17.0,3.256663072150072
3.308,0.074,236.51,14.0,0.0,0.0,17.0,3.3090032857142844
3.314,0.072,236.76,14.0,0.0,0.0,17.0,3.3127238253968234
3.306,0.072,237.11,13.8,0.0,0.0,17.0,3.2630539112554104
1.692,0.054,238.72,7.8,0.0,0.0,18.0,1.8692989285714292
3.342,0.07,237.66,14.0,0.0,0.0,17.0,3.3421216443001436
3.354,0.07,238.2,14.0,0.0,0.0,17.0,3.3462970649350647
3.334,0.072,237.46,14.0,0.0,0.0,18.0,3.317686397546897
3.33,0.072,237.36,14.0,0.0,0.0,17.0,3.3255317705627716
2.74,0.064,238.13,12.0,0.0,0.0,17.0,2.7938924444444444
2.188,0.06,237.74,10.0,0.0,0.0,18.0,2.267125472222224
3.33,0.07,237.26,14.0,0.0,0.0,17.0,3.3313798102453114
3.34,0.07,237.69,14.0,0.0,0.0,17.0,3.342218644300143
3.306,0.072,236.44,14.0,0.0,0.0,17.0,3.3097550238095232
3.044,0.072,236.23,13.2,0.0,0.0,17.0,3.0746800104617615
1.766,0.058,237.7,8.2,0.0,0.0,18.0,1.9289681634199138
3.376,0.0,235.73,14.2,0.0,0.0,17.0,3.360355900793652
3.414,0.052,236.51,14.4,0.0,0.0,17.0,3.4164169030691527
3.426,0.054,237.11,14.4,0.0,0.0,17.0,3.4248233174603167
3.42,0.054,237.06,14.4,0.0,0.0,17.0,3.4247366507936494
1.876,0.074,238.63,8.6,0.0,0.0,18.0,1.962840325396826
3.442,0.056,237.58,14.4,0.0,0.0,17.0,3.431257865079364
3.414,0.054,236.87,14.4,0.0,0.0,17.0,3.4164789268786757
3.412,0.056,236.94,14.4,0.0,0.0,17.0,3.4166641887834355
2.542,0.068,238.17,11.4,0.0,0.0,18.0,2.661060624098125
2.82,0.062,237.42,12.4,0.0,0.0,17.0,2.909899401875903
3.41,0.054,236.91,14.4,0.0,0.0,17.0,3.4161063435453407
3.392,0.052,236.24,14.2,0.0,0.0,17.0,3.3809886998557004
2.878,0.06,237.17,12.6,0.0,0.0,17.0,2.920480857142859
1.848,0.112,238.59,8.4,0.0,0.0,18.0,1.9190948560606058
3.494,0.144,237.43,14.6,0.0,0.0,17.0,3.4743058809523837
3.42,0.0,237.73,14.2,0.0,0.0,17.0,3.394012608585856
3.226,0.0,237.2,13.8,0.0,0.0,18.0,3.251290313492064
1.948,0.0,238.41,9.0,0.0,0.0,17.0,2.1385564166666686
3.392,0.0,236.6,14.2,0.0,0.0,17.0,3.3883008228715736
3.368,0.0,236.12,14.2,0.0,0.0,17.0,3.369025448412701
3.378,0.0,236.54,14.2,0.0,0.0,17.0,3.3839046165223694
1.872,0.0,238.48,8.6,0.0,0.0,18.0,1.9664405674603176
3.212,0.0,237.27,13.6,0.0,0.0,17.0,3.225585094155845
3.346,0.0,237.06,14.0,0.0,0.0,17.0,3.3353348412698414
3.308,0.072,236.49,14.0,0.0,0.0,17.0,3.3094590714285697
3.302,0.072,236.28,13.8,0.0,0.0,17.0,3.269400605699856
2.36,0.064,236.89,10.8,0.0,0.0,18.0,2.4975615793650796
2.652,0.046,236.64,11.8,0.0,0.0,17.0,2.738707103174604
3.392,0.0,236.58,14.2,0.0,1.0,17.0,3.38796123953824
3.398,0.0,236.83,14.2,0.0,2.0,17.0,3.390260096681097
3.424,0.046,237.75,14.4,0.0,1.0,17.0,3.441955753968253
1.86,0.066,239.69,8.4,0.0,2.0,18.0,1.9078670382395386
3.25,0.082,238.95,13.8,0.0,1.0,17.0,3.252336126262624
3.502,0.172,236.46,14.8,0.0,1.0,18.0,3.491075753246751
3.484,0.17,235.98,14.6,0.0,2.0,17.0,3.4741142658730144
3.478,0.168,235.85,14.6,0.0,1.0,17.0,3.468067932539683
1.696,0.194,238.19,7.6,0.0,2.0,17.0,1.7770088181818189
3.494,0.17,236.28,14.8,0.0,1.0,17.0,3.4926740786435766
3.482,0.17,236.4,14.6,0.0,1.0,17.0,3.4762737023809525
3.48,0.17,236.46,14.6,0.0,2.0,17.0,3.476741579365079
3.474,0.168,236.28,14.6,0.0,1.0,17.0,3.473039373015874
2.308,0.184,237.33,10.6,0.0,1.0,18.0,2.4437885347985344
2.926,0.178,237.09,12.8,0.0,2.0,17.0,2.984515996392496
3.472,0.17,236.39,14.6,0.0,1.0,17.0,3.474743178571428
3.48,0.17,236.75,14.6,0.0,1.0,17.0,3.4757072182539694
3.454,0.168,235.73,14.6,0.0,2.0,17.0,3.459398873015874
3.464,0.17,236.03,14.6,0.0,1.0,17.0,3.4706681230158734
1.786,0.096,237.68,8.2,0.0,1.0,18.0,1.892411159451661
3.182,0.0,235.99,13.6,0.0,1.0,17.0,3.2057928174603187
3.378,0.0,236.26,14.2,0.0,2.0,17.0,3.3777770649350676
3.372,0.0,236.03,14.2,0.0,1.0,17.0,3.3694070158730174
3.362,0.0,235.7,14.2,0.0,1.0,17.0,3.3570147222222233
3.112,0.0,236.08,13.4,0.0,1.0,17.0,3.12159421031746
1.614,0.056,237.31,7.4,0.0,0.0,17.0,1.700346178571428
3.358,0.0,236.14,14.2,0.0,0.0,17.0,3.368560686507938
3.388,0.0,236.61,14.2,0.0,0.0,17.0,3.3883008228715736
3.392,0.0,236.93,14.2,0.0,0.0,17.0,3.3926851244588727
2.81,0.0,237.97,12.4,0.0,0.0,18.0,2.8823107647907644
2.18,0.0,238.02,10.0,0.0,0.0,17.0,2.2870312020202044
3.37,0.0,236.06,14.2,0.0,0.0,17.0,3.3699378849206365
3.326,0.0,234.45,14.0,0.0,0.0,17.0,3.312457329365082
2.778,0.0,235.31,12.0,0.0,0.0,9.0,2.8094196388888895
2.358,0.0,237.1,9.8,0.0,0.0,0.0,2.327487800865801
0.96,0.054,238.68,5.6,0.0,0.0,0.0,1.1654702110389612
1.606,0.0,238.76,7.8,0.0,0.0,0.0,1.6927716847041845
2.35,0.0,238.59,9.8,0.0,0.0,0.0,2.3537575786435783
2.428,0.068,238.87,10.0,0.0,0.0,0.0,2.4158223452380962
2.078,0.072,238.97,9.2,0.0,0.0,0.0,2.0859040714285717
0.78,0.09,239.93,4.6,0.0,0.0,0.0,0.956740430735931
2.426,0.068,239.05,10.0,0.0,0.0,0.0,2.418094904761905
2.412,0.066,238.46,10.0,0.0,0.0,0.0,2.4049374087301594
2.428,0.07,239.68,10.0,0.0,0.0,0.0,2.4240715119047618
1.53,0.084,240.72,7.6,0.0,0.0,0.0,1.6108835205627694
1.388,0.086,240.87,7.2,0.0,0.0,0.0,1.5612944217171723
2.424,0.07,239.71,10.0,0.0,0.0,0.0,2.424395845238095
2.428,0.072,239.89,10.0,0.0,0.0,0.0,2.42411325
2.388,0.07,239.48,10.0,0.0,0.0,0.0,2.4111612142857157
0.376,0.1,241.64,1.6,0.0,0.0,0.0,0.36826158549783566
2.202,0.074,240.07,9.6,0.0,0.0,0.0,2.2728931349206354
2.43,0.07,239.77,10.0,0.0,0.0,0.0,2.4246350833333326
2.346,0.052,240.05,9.6,0.0,0.0,0.0,2.3381915555555537
1.916,0.054,239.75,8.6,0.0,0.0,0.0,1.9483379285714302
0.384,0.0,240.58,2.4,0.0,0.0,0.0,0.5032942619047619
2.334,0.06,239.2,9.6,0.0,0.0,0.0,2.32557441919192
2.32,0.06,238.84,9.6,0.0,0.0,0.0,2.3165717103174592
2.306,0.062,238.39,9.6,0.0,0.0,0.0,2.305042976190476
2.306,0.064,238.39,9.6,0.0,0.0,0.0,2.304099809523809
0.436,0.0,241.06,2.8,0.0,0.0,0.0,0.5457245992063493
1.584,0.05,240.89,7.8,0.0,0.0,0.0,1.6773535854978354
2.328,0.062,239.46,9.6,0.0,0.0,0.0,2.327310196969697
2.326,0.062,239.27,9.6,0.0,0.0,0.0,2.324865621572873
2.334,0.06,239.57,9.6,0.0,0.0,0.0,2.330167077922078
1.846,0.054,239.99,8.4,0.0,0.0,0.0,1.8672954603174607
0.284,0.0,242.04,1.2,0.0,0.0,0.0,0.2649936190476193
2.342,0.06,239.89,9.8,0.0,0.0,0.0,2.3541741046176052
2.392,0.0,239.91,10.0,0.0,0.0,0.0,2.4052489523809535
2.414,0.0,240.02,10.0,0.0,0.0,0.0,2.4081749880952388
2.414,0.0,239.97,10.0,0.0,0.0,0.0,2.408518365079366
0.754,0.086,241.27,4.4,0.0,0.0,0.0,1.0579525912698413
1.42,0.178,238.64,7.4,0.0,0.0,0.0,1.6051972709235198
2.468,0.162,237.47,10.4,0.0,0.0,0.0,2.475483261904762
2.474,0.164,238.05,10.4,0.0,0.0,0.0,2.478782107142857
2.488,0.168,239.03,10.4,0.0,0.0,0.0,2.473020857142858
1.81,0.182,240.28,8.6,0.0,0.0,0.0,1.9947719484126996
0.674,0.2,241.36,4.0,0.0,0.0,0.0,0.9181669880952379
2.444,0.094,239.42,10.2,0.0,0.0,0.0,2.4412091529581534
2.41,0.068,238.9,10.0,0.0,0.0,0.0,2.415237321428572
2.412,0.07,239.13,10.0,0.0,0.0,0.0,2.414594273809525
2.206,0.072,239.37,9.4,0.0,0.0,0.0,2.2215360088522598
0.37,0.1,241.58,1.6,0.0,0.0,0.0,0.3677881926406928
2.104,0.076,240.11,9.2,0.0,0.0,0.0,2.091327095238096
2.404,0.068,238.73,10.0,0.0,0.0,0.0,2.4119789761904764
2.418,0.07,239.52,10.0,0.0,0.0,0.0,2.4156287976190494
2.342,0.0,239.74,9.6,0.0,0.0,0.0,2.328446845238094
1.262,0.046,240.96,6.8,0.0,0.0,0.0,1.3742198134920642
0.852,0.0,241.64,5.2,0.0,0.0,0.0,1.0401467460317462
2.34,0.06,240.05,9.6,0.0,0.0,0.0,2.337810998917748
2.336,0.06,240.07,9.6,0.0,0.0,0.0,2.3372947489177474
2.334,0.06,239.99,9.6,0.0,0.0,0.0,2.3370968124098117
2.33,0.06,239.74,9.6,0.0,0.0,0.0,2.332521112554113
1.038,0.0,241.17,6.0,0.0,0.0,0.0,1.4054861984126992
0.386,0.0,242.39,2.4,0.0,0.0,0.0,0.5229465595238092
2.35,0.06,240.41,9.6,0.0,0.0,0.0,2.3468325663780663
2.346,0.06,240.5,9.6,0.0,0.0,0.0,2.3471298759018757
2.346,0.06,240.55,9.6,0.0,0.0,0.0,2.348984595238095
1.834,0.052,240.97,8.4,0.0,0.0,0.0,1.840354972222222
1.222,0.046,241.58,6.6,0.0,0.0,0.0,1.3979618571428576
2.342,0.06,240.21,9.6,0.0,0.0,0.0,2.3393792052669546
2.334,0.06,239.98,9.6,0.0,0.0,0.0,2.335244779220779
1.666,0.052,240.65,8.0,0.0,0.0,0.0,1.7373692005772003
1.198,0.0,241.68,6.6,0.0,0.0,0.0,1.459532531746032
2.35,0.058,240.7,9.6,0.0,0.0,0.0,2.349906956349206
2.398,0.0,240.7,9.8,0.0,0.0,0.0,2.381624790764791
2.444,0.072,240.11,10.2,0.0,0.0,0.0,2.44610346031746
0.406,0.098,241.71,2.0,0.0,0.0,0.0,0.42780998124098124
2.434,0.072,240.13,10.0,0.0,0.0,0.0,2.427094845238095
2.502,0.136,240.24,10.4,0.0,0.0,0.0,2.4789430721500727
2.518,0.176,240.53,10.4,0.0,0.0,0.0,2.490389341269841
1.516,0.19,241.36,7.6,0.0,0.0,0.0,1.5671454386724384
1.498,0.188,241.02,7.6,0.0,0.0,0.0,1.5648177958152956
2.508,0.174,240.06,10.4,0.0,0.0,0.0,2.502038757936507
2.504,0.174,240.09,10.4,0.0,0.0,0.0,2.5002668531746024
2.492,0.172,239.49,10.4,0.0,0.0,0.0,2.489542837301588
0.814,0.204,242.16,4.8,0.0,0.0,0.0,0.9714849145021646
2.304,0.18,240.95,9.8,0.0,0.0,0.0,2.311200317099566
2.53,0.182,241.74,10.4,0.0,0.0,0.0,2.5076794047619053
2.378,0.0,241.18,9.8,0.0,0.0,0.0,2.375792067460316
0.384,0.0,243.73,2.4,0.0,0.0,0.0,0.5204389081196581
2.37,0.058,241.48,9.8,0.0,0.0,0.0,2.3709709155844148
